iPhone14,2; iOS 16_6_1; {}; {}; scale=3.00; 1170x2532
iPhone12,1; iOS 15_5; {}; {}; scale=2.00; 828x1792
iPhone10,5; iOS 16_7; {}; {}; scale=3.00; 1242x2208
iPhone13,1; iOS 16_6_1; {}; {}; scale=3.00; 1125x2436
iPhone14,8; iOS 17_0_3; {}; {}; scale=3.00; 1284x2778
iPhone13,2; iOS 16_6_1; {}; {}; scale=3.00; 1170x2532
iPhone13,1; iOS 16_6; {}; {}; scale=3.00; 960x2079
iPhone9,1; iOS 15_7_9; {}; {}; scale=2.00; 750x1334
iPhone13,2; iOS 16_2; {}; {}; scale=3.00; 1170x2532
iPhone11,8; iOS 16_1_1; {}; {}; scale=2.00; 828x1792
iPhone14,3; iOS 16_6_1; {}; {}; scale=3.00; 1284x2778
iPhone14,5; iOS 16_5; {}; {}; scale=3.00; 1170x2532
iPhone12,5; iOS 16_6_1; {}; {}; scale=3.00; 1242x2688
iPhone14,7; iOS 16_6_1; {}; {}; scale=3.00; 1170x2532
iPhone11,8; iOS 16_6_1; {}; {}; scale=2.00; 750x1624
iPhone14,5; iOS 16_6_1; {}; {}; scale=3.00; 1170x2532
iPhone11,2; iOS 16_6_1; {}; {}; scale=3.00; 1125x2436
iPhone13,1; iOS 16_6_1; {}; {}; scale=3.00; 1125x2436
iPhone12,1; iOS 16_0_2; {}; {}; scale=2.00; 828x1792
iPhone13,4; iOS 16_7; {}; {}; scale=3.00; 1284x2778
iPhone13,1; iOS 16_6; {}; {}; scale=3.00; 1125x2436
iPhone11,8; iOS 16_5_1; {}; {}; scale=2.00; 828x1792
iPhone12,5; iOS 16_6_1; {}; {}; scale=3.00; 1242x2688
iPhone11,6; iOS 16_6_1; {}; {}; scale=3.00; 1242x2688
iPhone9,3; iOS 15_7_9; {}; {}; scale=2.00; 750x1334
iPhone13,3; iOS 16_6; {}; {}; scale=3.00; 1170x2532
iPhone14,5; iOS 16_1_1; {}; {}; scale=3.00; 1170x2532
iPhone15,4; iOS 17_0_3; {}; {}; scale=3.00; 1179x2556
iPhone13,3; iOS 16_0; {}; {}; scale=3.00; 1170x2532
iPhone13,1; iOS 16_6_1; {}; {}; scale=3.00; 960x2079
iPhone12,1; iOS 15_5; {}; {}; scale=2.00; 828x1792
iPhone12,1; iOS 16_6_1; {}; {}; scale=2.00; 828x1792
iPhone12,3; iOS 16_6_1; {}; {}; scale=3.00; 1125x2436
iPhone15,3; iOS 17_0_3; {}; {}; scale=3.00; 1125x2436
iPhone13,2; iOS 16_5_1; {}; {}; scale=3.00; 1170x2532
iPhone13,3; iOS 17_0_3; {}; {}; scale=3.00; 1170x2532
iPhone15,3; iOS 16_0_3; {}; {}; scale=3.00; 1290x2796
iPhone14,5; iOS 16_6_1; {}; {}; scale=3.00; 1170x2532
iPhone14,5; iOS 16_6_1; {}; {}; scale=3.00; 1170x2532
iPhone13,3; iOS 16_6_1; {}; {}; scale=3.00; 1170x2532
iPhone9,4; iOS 15_7_2; {}; {}; scale=3.00; 1242x2208
iPhone12,1; iOS 16_3_1; {}; {}; scale=2.00; 828x1792
iPhone10,6; iOS 16_7_1; {}; {}; scale=3.00; 1125x2436
iPhone12,1; iOS 16_6_1; {}; {}; scale=2.00; 828x1792
iPhone11,2; iOS 16_6_1; {}; {}; scale=3.00; 1125x2436
iPhone14,2; iOS 16_6_1; {}; {}; scale=3.00; 1170x2532
iPhone9,3; iOS 15_7_5; {}; {}; scale=2.00; 750x1334
iPhone11,2; iOS 16_6_1; {}; {}; scale=3.00; 1125x2436
iPhone12,1; iOS 16_6_1; {}; {}; scale=2.00; 828x1792
iPhone10,1; iOS 16_7_1; {}; {}; scale=2.00; 750x1334
iPhone14,6; iOS 15_4; {}; {}; scale=2.00; 750x1334
iPhone13,4; iOS 16_6_1; {}; {}; scale=3.00; 1284x2778
iPhone13,2; iOS 17_0_3; {}; {}; scale=3.00; 1170x2532
iPhone12,1; iOS 16_6_1; {}; {}; scale=2.00; 828x1792
iPhone14,5; iOS 16_6_1; {}; {}; scale=3.00; 1170x2532
iPhone11,2; iOS 16_2; {}; {}; scale=3.00; 1125x2436
iPhone12,8; iOS 16_3_1; {}; {}; scale=2.00; 750x1334
iPhone13,2; iOS 16_1_1; {}; {}; scale=3.00; 1170x2532
iPhone14,2; iOS 16_6_1; {}; {}; scale=3.00; 1170x2532
iPhone8,1; iOS 15_7_1; {}; {}; scale=2.00; 750x1334
iPhone12,1; iOS 15_0; {}; {}; scale=2.00; 828x1792
iPhone15,2; iOS 16_6_1; {}; {}; scale=3.00; 1179x2556
iPhone12,8; iOS 16_1_1; {}; {}; scale=2.00; 750x1334
iPhone10,4; iOS 16_4_1; {}; {}; scale=2.00; 750x1334
iPhone16,1; iOS 17_0_3; {}; {}; scale=3.00; 1179x2556
iPhone12,1; iOS 16_6; {}; {}; scale=2.00; 828x1792
iPhone14,5; iOS 16_6_1; {}; {}; scale=3.00; 1170x2532
iPhone14,3; iOS 17_0_3; {}; {}; scale=3.00; 1284x2778
iPhone14,5; iOS 17_0_3; {}; {}; scale=3.00; 1170x2532
iPhone14,3; iOS 16_6_1; {}; {}; scale=3.00; 1284x2778
iPhone14,3; iOS 16_6_1; {}; {}; scale=3.00; 1284x2778
iPhone14,4; iOS 17_0_3; {}; {}; scale=3.00; 1125x2436
iPhone15,2; iOS 16_3; {}; {}; scale=3.00; 1179x2556
iPhone15,2; iOS 17_0_3; {}; {}; scale=3.00; 1179x2556
iPhone13,1; iOS 17_0_3; {}; {}; scale=3.00; 1125x2436
iPhone13,2; iOS 16_6_1; {}; {}; scale=3.00; 1170x2532
iPhone15,2; iOS 16_6; {}; {}; scale=3.00; 1179x2556
iPhone8,2; iOS 15_3_1; {}; {}; scale=2.61; 1080x1920
iPhone13,4; iOS 16_6; {}; {}; scale=3.00; 1284x2778
iPhone14,8; iOS 16_1_2; {}; {}; scale=3.00; 1284x2778
iPhone9,4; iOS 15_7_2; {}; {}; scale=3.00; 1125x2001
iPhone9,4; iOS 15_7_2; {}; {}; scale=3.00; 1125x2001
iPhone16,1; iOS 17_0_3; {}; {}; scale=3.00; 1179x2556
iPhone13,3; iOS 17_0_3; {}; {}; scale=3.00; 1170x2532
iPhone12,1; iOS 15_6_1; {}; {}; scale=2.00; 828x1792
iPhone14,7; iOS 16_6; {}; {}; scale=3.00; 1170x2532
iPhone14,2; iOS 17_0_3; {}; {}; scale=3.00; 1170x2532
iPhone12,1; iOS 16_6; {}; {}; scale=2.00; 828x1792
iPhone14,5; iOS 16_4_1; {}; {}; scale=3.00; 1170x2532
iPhone12,8; iOS 16_6_1; {}; {}; scale=2.00; 750x1334
iPhone14,5; iOS 16_1_2; {}; {}; scale=3.00; 1170x2532
iPhone14,5; iOS 16_6_1; {}; {}; scale=3.00; 1170x2532
iPhone13,3; iOS 17_0_1; {}; {}; scale=3.00; 1170x2532
iPhone14,5; iOS 16_5_1; {}; {}; scale=3.00; 1170x2532
iPhone14,5; iOS 16_6; {}; {}; scale=3.00; 1170x2532
iPhone14,4; iOS 16_6_1; {}; {}; scale=3.00; 1125x2436
iPhone15,2; iOS 16_3; {}; {}; scale=3.00; 1179x2556
iPhone11,6; iOS 16_5_1; {}; {}; scale=3.00; 1242x2688
iPhone13,4; iOS 17_0_3; {}; {}; scale=3.00; 1284x2778
iPhone14,5; iOS 16_0; {}; {}; scale=3.00; 1170x2532
iPhone14,7; iOS 17_0_3; {}; {}; scale=3.00; 1170x2532
iPhone15,4; iOS 17_0_3; {}; {}; scale=3.00; 1179x2556
iPhone15,3; iOS 16_6_1; {}; {}; scale=3.00; 1290x2796
iPhone14,2; iOS 16_6_1; {}; {}; scale=3.00; 1170x2532
iPhone12,1; iOS 16_5; {}; {}; scale=2.00; 828x1792
iPhone12,5; iOS 16_0; {}; {}; scale=3.00; 1242x2688
iPhone15,3; iOS 16_7; {}; {}; scale=3.00; 1290x2796
iPhone11,8; iOS 15_6_1; {}; {}; scale=2.00; 828x1792
iPhone10,4; iOS 16_1_1; {}; {}; scale=2.00; 750x1334
iPhone12,1; iOS 17_0_2; {}; {}; scale=2.00; 828x1792
iPhone13,3; iOS 17_0_3; {}; {}; scale=3.00; 1170x2532
iPhone12,3; iOS 15_6; {}; {}; scale=3.00; 1125x2436
iPhone14,8; iOS 17_0_3; {}; {}; scale=3.00; 1284x2778
iPhone10,2; iOS 16_7_1; {}; {}; scale=3.00; 1242x2208
iPhone10,2; iOS 16_7_1; {}; {}; scale=3.00; 1242x2208
iPhone10,5; iOS 16_7_1; {}; {}; scale=3.00; 1242x2208
iPhone14,5; iOS 17_0_3; {}; {}; scale=3.00; 1170x2532
iPhone8,4; iOS 15_7_9; {}; {}; scale=2.00; 640x1136
iPhone15,3; iOS 16_7_1; {}; {}; scale=3.00; 1290x2796
iPhone12,1; iOS 16_1_1; {}; {}; scale=2.00; 750x1624
iPhone14,5; iOS 17_0_3; {}; {}; scale=3.00; 1170x2532
iPhone13,2; iOS 17_0_3; {}; {}; scale=3.00; 1170x2532
iPhone10,5; iOS 16_7_1; {}; {}; scale=3.00; 1242x2208
iPhone13,2; iOS 16_2; {}; {}; scale=3.00; 1170x2532
iPhone13,2; iOS 16_6; {}; {}; scale=3.00; 1170x2532
